dish_name,calories_(kcal),carbohydrates_(g),protein_(g),fats_(g),free_sugar_(g),fibre_(g),sodium_(mg),calcium_(mg),iron_(mg),vitamin_c_(mg),folate_(µg),calories_(kcal)_per_100g,carbohydrates_(g)_per_100g,protein_(g)_per_100g,fats_(g)_per_100g,free_sugar_(g)_per_100g,fibre_(g)_per_100g,sodium_(mg)_per_100g,calcium_(mg)_per_100g,iron_(mg)_per_100g,vitamin_c_(mg)_per_100g,folate_(µg)_per_100g,meal_category,veg_nonveg,region,dietary_restrictions,is_vegan,is_gluten_free,is_dairy_free,is_nut_free,is_diabetic_friendly,is_keto_friendly,is_jain_friendly,is_low_calorie,is_high_protein,is_low_sodium,carb_category
Keema parantha/paratha,238.09,18.36,9.41,13.91,0.99,3.44,140.62,19.35,1.8,1.8,11.49,238.09,18.36,9.41,13.91,0.99,3.44,140.62,19.35,1.8,1.8,11.49,Breakfast,Non-Vegetarian,North Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium,1,0,1,1,0,0,1,0,0,1,Low
Paneer parantha/paratha,262.97,24.33,7.98,14.62,3.77,4.0,142.52,127.65,1.7,1.69,29.0,262.97,24.33,7.98,14.62,3.77,4.0,142.52,127.65,1.7,1.69,29.0,Breakfast,Vegetarian,North Indian,Contains-Gluten; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Sodium,0,0,0,1,0,0,1,0,0,1,Low
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,1.31,4.39,177.19,33.07,1.85,6.65,50.53,216.49,21.39,5.54,12.09,1.31,4.39,177.19,33.07,1.85,6.65,50.53,Breakfast,Vegetarian,North Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium,1,0,1,1,0,0,1,0,0,1,Low
Boiled rice (Uble chawal),117.19,25.72,2.6,0.18,0.22,1.25,1.05,2.7,0.24,0.0,9.75,117.19,25.72,2.6,0.18,0.22,1.25,1.05,2.7,0.24,0.0,9.75,Main Course,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Low
Plain pulao,140.21,21.82,2.34,4.62,1.15,1.69,193.76,12.76,0.41,3.42,22.63,140.21,21.82,2.34,4.62,1.15,1.69,193.76,12.76,0.41,3.42,22.63,Main Course,Vegetarian,North Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Low
Mixed vegetable pulao,113.05,17.49,2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63,113.05,17.49,2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63,Main Course,Vegetarian,North Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Low
Mushroom pulao,124.29,19.02,2.52,4.03,1.0,1.88,222.36,13.54,0.39,3.42,26.77,124.29,19.02,2.52,4.03,1.0,1.88,222.36,13.54,0.39,3.42,26.77,Main Course,Vegetarian,North Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Protein,1,1,1,1,1,0,1,1,0,1,Low
Sprouted moong pulao,112.97,17.49,2.19,3.61,1.43,1.78,153.16,16.26,0.65,7.53,43.15,112.97,17.49,2.19,3.61,1.43,1.78,153.16,16.26,0.65,7.53,43.15,Main Course,Vegetarian,North Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Low
Peanut pulao ,193.28,21.18,5.32,9.51,1.6,2.9,168.4,18.52,0.83,3.42,68.06,193.28,21.18,5.32,9.51,1.6,2.9,168.4,18.52,0.83,3.42,68.06,Main Course,Vegetarian,North Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Contains-Nuts; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium,1,1,1,0,1,0,1,0,0,1,Low
Navratan pulao,261.71,36.98,6.2,9.45,2.52,3.82,334.26,59.61,1.1,12.89,46.97,261.71,36.98,6.2,9.45,2.52,3.82,334.26,59.61,1.1,12.89,46.97,Main Course,Vegetarian,North Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan,1,1,1,1,1,0,1,0,0,1,Medium
Mutton biryani/biriyani,190.76,22.5,7.38,7.72,2.39,2.42,262.64,68.58,1.29,10.28,30.07,190.76,22.5,7.38,7.72,2.39,2.42,262.64,68.58,1.29,10.28,30.07,Main Course,Non-Vegetarian,North Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly,0,1,1,1,1,0,1,0,0,1,Low
Vegetable biryani/biriyani,174.61,18.56,3.16,9.51,2.14,3.31,183.79,33.52,0.86,39.35,77.54,174.61,18.56,3.16,9.51,2.14,3.31,183.79,33.52,0.86,39.35,77.54,Main Course,Vegetarian,North Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sodium,1,1,1,1,1,0,1,0,0,1,Low
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,21.62,4.26,7.88,0.78,2.52,187.11,12.7,0.77,10.2,38.01,176.3,21.62,4.26,7.88,0.78,2.52,187.11,12.7,0.77,10.2,38.01,Main Course,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Sugar; Low-Sodium,1,1,1,1,1,0,1,0,0,1,Low
Sweet rice (Meethe chawal),215.41,42.59,2.1,4.57,24.8,1.13,3.2,11.38,0.34,0.21,10.65,215.41,42.59,2.1,4.57,24.8,1.13,3.2,11.38,0.34,0.21,10.65,Dessert,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; High-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,0,0,1,Medium
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,32.93,5.75,4.32,3.91,2.13,213.29,101.52,0.59,5.1,28.24,195.74,32.93,5.75,4.32,3.91,2.13,213.29,101.52,0.59,5.1,28.24,Main Course,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; High-Carb,0,1,0,1,1,0,1,0,0,1,Medium
Macroni cheese pie,170.63,21.1,5.85,7.48,3.4,0.4,200.51,122.01,0.54,14.65,28.19,170.63,21.1,5.85,7.48,3.4,0.4,200.51,122.01,0.54,14.65,28.19,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Keto-Friendly,0,1,0,1,0,1,1,0,0,1,Low
Penne platter,177.4,20.87,5.04,8.71,4.5,1.09,283.37,67.67,0.9,16.35,60.2,177.4,20.87,5.04,8.71,4.5,1.09,283.37,67.67,0.9,16.35,60.2,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan,1,1,1,1,0,0,1,0,0,1,Low
Chicken lasagne,187.49,13.9,10.45,10.36,2.74,0.11,238.55,119.98,0.64,4.23,61.02,187.49,13.9,10.45,10.36,2.74,0.11,238.55,119.98,0.64,4.23,61.02,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly,0,1,1,1,0,0,1,0,0,1,Low
Naan,286.45,51.75,8.05,4.99,5.59,1.91,326.11,88.01,1.29,0.23,7.56,286.45,51.75,8.05,4.99,5.59,1.91,326.11,88.01,1.29,0.23,7.56,Main Course,Vegetarian,North Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan,1,0,1,1,0,0,1,0,0,1,Medium
Idli,137.54,28.18,4.64,0.33,0.28,2.31,100.83,8.0,0.68,0.0,2.95,137.54,28.18,4.64,0.33,0.28,2.31,100.83,8.0,0.68,0.0,2.95,Breakfast,Vegetarian,South Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium,1,1,1,1,0,0,1,1,0,1,Low
Masala dosa,164.58,19.57,3.29,7.84,1.33,2.52,191.28,15.58,0.79,14.14,35.76,164.58,19.57,3.29,7.84,1.33,2.52,191.28,15.58,0.79,14.14,35.76,Breakfast,Vegetarian,South Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Low
Semolina dosa (Suji/Rava dosa),227.05,32.84,7.3,7.12,4.37,4.04,202.36,116.04,1.39,2.28,15.86,227.05,32.84,7.3,7.12,4.37,4.04,202.36,116.04,1.39,2.28,15.86,Breakfast,Vegetarian,South Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan,1,1,1,1,0,0,1,0,0,1,Medium
Paneer kaathi roll,285.94,20.1,6.92,19.55,3.29,2.4,221.03,101.66,1.42,18.67,54.04,285.94,20.1,6.92,19.55,3.29,2.4,221.03,101.66,1.42,18.67,54.04,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly,0,1,0,1,0,0,1,0,0,1,Low
Makki ki roti,263.97,24.19,3.49,16.85,0.7,5.19,236.22,14.76,1.11,1.99,10.72,263.97,24.19,3.49,16.85,0.7,5.19,236.22,14.76,1.11,1.99,10.72,Main Course,Vegetarian,North Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; High-Fiber,1,0,1,1,0,0,1,0,0,1,Low
Washed moong dal (Dhuli moong ki dal),50.0,5.91,2.68,1.68,0.12,1.17,150.64,8.48,0.64,0.04,27.98,50.0,5.91,2.68,1.68,0.12,1.17,150.64,8.48,0.64,0.04,27.98,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Washed urad dal (Dhuli urad ki dal),61.32,5.84,2.51,2.98,0.32,1.53,142.21,10.24,0.72,0.99,30.4,61.32,5.84,2.51,2.98,0.32,1.53,142.21,10.24,0.72,0.99,30.4,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Dry washed urad,124.71,15.66,6.85,3.5,0.73,4.06,295.79,27.08,1.89,1.46,40.3,124.71,15.66,6.85,3.5,0.73,4.06,295.79,27.08,1.89,1.46,40.3,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar,1,1,1,1,0,0,1,1,0,1,Low
Mixed dal,61.93,5.79,2.51,3.1,0.34,1.62,141.36,11.0,0.78,1.1,40.35,61.93,5.79,2.51,3.1,0.34,1.62,141.36,11.0,0.78,1.1,40.35,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Whole moong (Moong ki dal),53.7,5.22,2.25,2.56,0.59,2.02,123.86,13.58,0.68,11.04,55.37,53.7,5.22,2.25,2.56,0.59,2.02,123.86,13.58,0.68,11.04,55.37,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Whole masoor (Masoor ki dal),54.05,5.37,2.28,2.52,0.67,1.98,123.72,12.2,0.95,11.04,48.17,54.05,5.37,2.28,2.52,0.67,1.98,123.72,12.2,0.95,11.04,48.17,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Whole urad (Urad ki dal),53.8,5.05,2.21,2.62,0.57,2.32,126.12,13.07,0.78,10.28,51.6,53.8,5.05,2.21,2.62,0.57,2.32,126.12,13.07,0.78,10.28,51.6,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Sambar,96.92,10.57,3.35,4.38,3.31,3.52,159.54,30.24,1.24,20.35,68.19,96.92,10.57,3.35,4.38,3.31,3.52,159.54,30.24,1.24,20.35,68.19,Main Course,Vegetarian,South Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,1,1,1,0,1,1,0,1,Low
Sprouted moong dal chat,32.47,6.01,1.35,0.32,1.57,1.35,87.07,16.54,0.88,38.78,43.12,32.47,6.01,1.35,0.32,1.57,1.35,87.07,16.54,0.88,38.78,43.12,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Dry potato (Sookhe aloo),103.15,14.38,1.62,4.18,0.33,1.88,199.99,17.2,0.83,23.23,15.7,103.15,14.38,1.62,4.18,0.33,1.88,199.99,17.2,0.83,23.23,15.7,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,0,1,0,1,Low
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62,2.36,4.52,219.6,48.63,0.84,41.01,72.27,106.61,4.99,1.82,8.62,2.36,4.52,219.6,48.63,0.84,41.01,72.27,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; Keto-Friendly; Low-Calorie; Low-Protein,1,1,1,1,0,1,0,1,0,1,Very Low
Raw turnip with coconut ,132.15,5.78,1.8,11.47,4.4,2.79,275.55,50.65,0.82,21.65,27.89,132.15,5.78,1.8,11.47,4.4,2.79,275.55,50.65,0.82,21.65,27.89,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; Keto-Friendly; Low-Calorie; Low-Protein,1,1,1,1,0,1,0,1,0,1,Very Low
Raw papaya with coconut (Papaya thoran),132.75,5.58,1.54,11.42,3.82,4.31,270.56,33.74,0.82,25.38,43.68,132.75,5.58,1.54,11.42,3.82,4.31,270.56,33.74,0.82,25.38,43.68,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Keto-Friendly; Low-Calorie; Low-Protein,1,1,1,1,0,1,1,1,0,1,Very Low
Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66,0.48,4.15,210.03,86.89,1.18,22.65,63.97,94.34,3.85,2.08,7.66,0.48,4.15,210.03,86.89,1.18,22.65,63.97,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Stuffed round gourd (Bharwa tinde),72.8,4.02,1.1,5.75,1.96,2.1,180.15,20.21,0.59,37.36,71.07,72.8,4.02,1.1,5.75,1.96,2.1,180.15,20.21,0.59,37.36,71.07,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Stuffed brinjal (Bharwa baingan),93.0,3.96,1.53,7.73,0.92,4.09,212.88,24.37,0.75,1.13,17.11,93.0,3.96,1.53,7.73,0.92,4.09,212.88,24.37,0.75,1.13,17.11,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06,2.68,2.2,165.85,59.16,0.62,28.23,37.42,93.35,6.19,3.28,6.06,2.68,2.2,165.85,59.16,0.62,28.23,37.42,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,1,1,0,0,1,1,0,1,Very Low
Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25,2.09,3.14,217.05,26.59,1.71,40.01,45.45,110.34,9.24,1.53,7.25,2.09,3.14,217.05,26.59,1.71,40.01,45.45,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Gravy for kofta,125.59,6.31,1.75,10.35,3.73,1.96,312.86,39.65,0.75,17.05,27.6,125.59,6.31,1.75,10.35,3.73,1.96,312.86,39.65,0.75,17.05,27.6,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Baked potato with skin ,135.77,11.11,3.43,8.5,1.66,1.2,354.5,90.06,0.5,11.88,9.99,135.77,11.11,3.43,8.5,1.66,1.2,354.5,90.06,0.5,11.88,9.99,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sugar,1,1,1,1,0,0,0,1,0,1,Low
Al yakhani,147.54,4.65,2.86,13.14,3.56,1.27,206.24,103.88,0.46,5.41,60.75,147.54,4.65,2.86,13.14,3.56,1.27,206.24,103.88,0.46,5.41,60.75,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Shahi paneer,156.5,6.64,5.06,12.34,5.01,1.4,215.35,125.38,0.62,30.83,78.58,156.5,6.64,5.06,12.34,5.01,1.4,215.35,125.38,0.62,30.83,78.58,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly,0,1,0,1,0,0,1,0,0,1,Very Low
Paneer in butter sauce,145.61,9.7,6.99,8.81,7.49,1.5,151.45,170.59,0.85,18.02,64.79,145.61,9.7,6.99,8.81,7.49,1.5,151.45,170.59,0.85,18.02,64.79,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium,0,1,0,1,0,0,1,1,0,1,Very Low
Methi malai paneer,194.98,8.15,7.34,14.76,6.0,1.47,221.16,183.96,0.77,13.6,73.86,194.98,8.15,7.34,14.76,6.0,1.47,221.16,183.96,0.77,13.6,73.86,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly,0,1,0,1,0,0,1,0,0,1,Very Low
Roghan josh,139.59,4.93,9.56,9.02,2.66,2.08,204.31,112.33,1.77,12.41,36.34,139.59,4.93,9.56,9.02,2.66,2.08,204.31,112.33,1.77,12.41,36.34,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie,1,1,1,1,0,0,1,1,0,1,Very Low
Keema kofta curry,154.45,5.64,9.77,10.39,2.14,1.51,311.51,49.89,1.25,2.43,6.6,154.45,5.64,9.77,10.39,2.14,1.51,311.51,49.89,1.25,2.43,6.6,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan,1,1,1,1,0,0,1,0,0,1,Very Low
Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77,2.13,0.62,130.11,52.53,0.85,3.22,22.46,97.42,3.04,6.33,6.77,2.13,0.62,130.11,52.53,0.85,3.22,22.46,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
Mutton yakhni,104.13,0.84,8.27,7.7,0.13,0.67,101.02,88.61,1.66,0.09,6.51,104.13,0.84,8.27,7.7,0.13,0.67,101.02,88.61,1.66,0.09,6.51,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sugar; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
Chicken yakhni,99.0,0.78,10.66,6.1,0.12,0.62,97.38,28.24,0.93,0.09,13.24,99.0,0.78,10.66,6.1,0.12,0.62,97.38,28.24,0.93,0.09,13.24,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sugar; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
Mutton do piaza,183.3,4.14,9.39,14.41,2.9,1.93,118.62,118.61,1.63,7.42,67.3,183.3,4.14,9.39,14.41,2.9,1.93,118.62,118.61,1.63,7.42,67.3,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Sodium,0,1,1,1,0,0,1,0,0,1,Very Low
Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,1.7,1.05,197.25,21.3,0.84,19.35,21.04,142.78,8.06,7.45,8.88,1.7,1.05,197.25,21.3,0.84,19.35,21.04,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sugar; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
Chicken curry,129.22,3.38,11.79,7.57,1.79,1.41,108.0,27.29,0.87,16.79,38.7,129.22,3.38,11.79,7.57,1.79,1.41,108.0,27.29,0.87,16.79,38.7,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sugar; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
Butter chicken,137.0,3.74,10.92,8.7,2.37,1.32,26.21,25.28,0.92,32.65,40.85,137.0,3.74,10.92,8.7,2.37,1.32,26.21,25.28,0.92,32.65,40.85,Main Course,Non-Vegetarian,North Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium,0,1,0,1,0,0,1,1,0,1,Very Low
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,1.16,1.13,107.56,16.09,0.64,10.78,17.41,125.03,2.51,11.48,7.61,1.16,1.13,107.56,16.09,0.64,10.78,17.41,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sugar; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
Fish curry (Machli curry),111.13,3.77,8.76,6.69,2.02,1.89,184.71,52.06,1.09,22.48,40.45,111.13,3.77,8.76,6.69,2.02,1.89,184.71,52.06,1.09,22.48,40.45,Main Course,Non-Vegetarian,East Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
Baked fish with cheese sauce,113.96,4.06,8.64,7.02,3.22,0.08,209.48,115.64,0.26,9.97,29.36,113.96,4.06,8.64,7.02,3.22,0.08,209.48,115.64,0.26,9.97,29.36,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Keto-Friendly; Low-Calorie,0,1,0,1,0,1,1,1,0,1,Very Low
Tandoori fish,95.98,2.37,11.19,4.64,1.6,0.58,123.94,37.27,0.46,19.66,27.55,95.98,2.37,11.19,4.64,1.6,0.58,123.94,37.27,0.46,19.66,27.55,Main Course,Non-Vegetarian,North Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sugar; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,6.36,1.65,176.63,103.05,0.84,25.3,67.13,95.08,8.35,3.88,5.07,6.36,1.65,176.63,103.05,0.84,25.3,67.13,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium,0,1,0,1,1,0,1,1,0,1,Very Low
Pasta salad,190.36,12.7,4.15,13.92,2.6,0.96,152.31,66.74,0.81,38.78,56.54,190.36,12.7,4.15,13.92,2.6,0.96,152.31,66.74,0.81,38.78,56.54,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Sodium,1,0,1,1,1,0,1,0,0,1,Low
